resistance,drug
"ARO:3002388","ARO:3000008"
"ARO:3002417","ARO:0000032"
"ARO:3002417","ARO:3000008"
"ARO:3002694","ARO:3000387"
"ARO:3002811","ARO:0000025"
"ARO:3002876","ARO:3000527"
"ARO:3002882","ARO:0000017"
"ARO:3002906","ARO:3000081"
"ARO:3002915","ARO:3000081"
"ARO:3002916","ARO:3000081"
"ARO:3002981","ARO:0000016"
"ARO:3002992","ARO:0000032"
"ARO:3002994","ARO:0000032"
"ARO:3002994","ARO:3000008"
"ARO:3002996","ARO:0000032"
"ARO:3002996","ARO:3000008"
"ARO:3002998","ARO:0000032"
"ARO:3003000","ARO:0000044"
"ARO:3003006","ARO:0000001"
"ARO:3003007","ARO:0000001"
"ARO:3003008","ARO:0000001"
"ARO:3003008","ARO:0000016"
"ARO:3003025","ARO:3000759"
"ARO:3003027","ARO:0000017"
"ARO:3003029","ARO:0000001"
"ARO:3003032","ARO:0000000"
"ARO:3003032","ARO:0000001"
"ARO:3003032","ARO:0000016"
"ARO:3003032","ARO:0000032"
"ARO:3003032","ARO:0000044"
"ARO:3003032","ARO:3000008"
"ARO:3003038","ARO:0000016"
"ARO:3003046","ARO:0000001"
"ARO:3003047","ARO:0000001"
"ARO:3003050","ARO:0000016"
"ARO:3003050","ARO:0000032"
"ARO:3003050","ARO:0000044"
"ARO:3003050","ARO:3000008"
"ARO:3003054","ARO:0000000"
"ARO:3003054","ARO:0000001"
"ARO:3003065","ARO:3000053"
"ARO:3003080","ARO:3000053"
"ARO:3003090","ARO:3000053"
"ARO:3003090","ARO:3000157"
"ARO:3003091","ARO:3000053"
"ARO:3003195","ARO:0000004"
"ARO:3003195","ARO:0000020"
"ARO:3003195","ARO:0000032"
"ARO:3003195","ARO:0000044"
"ARO:3003195","ARO:3000008"
"ARO:3003195","ARO:3003706"
"ARO:3003201","ARO:0000001"
"ARO:3003201","ARO:0000004"
"ARO:3003201","ARO:0000032"
"ARO:3003272","ARO:3000053"
"ARO:3003290","ARO:3000053"
"ARO:3003292","ARO:0000001"
"ARO:3003313","ARO:0000001"
"ARO:3003388","ARO:3003401"
"ARO:3003398","ARO:3000053"
"ARO:3003415","ARO:3000282"
"ARO:3003416","ARO:3000520"
"ARO:3003418","ARO:3003413"
"ARO:3003419","ARO:0000016"
"ARO:3003443","ARO:0000016"
"ARO:3003447","ARO:3000527"
"ARO:3003450","ARO:3000527"
"ARO:3003457","ARO:3003474"
"ARO:3003460","ARO:3000520"
"ARO:3003462","ARO:3000520"
"ARO:3003464","ARO:3000157"
"ARO:3003466","ARO:0000016"
"ARO:3003555","ARO:0000032"
"ARO:3003555","ARO:3000008"
"ARO:3003581","ARO:3000053"
"ARO:3003666","ARO:0000016"
"ARO:3003667","ARO:3000053"
"ARO:3003668","ARO:3000527"
"ARO:3003669","ARO:3000050"
"ARO:3003734","ARO:3000759"
"ARO:3003736","ARO:3000759"
"ARO:3003754","ARO:3004116"
"ARO:3003755","ARO:3004116"
"ARO:3003786","ARO:0000001"
"ARO:3003787","ARO:3000103"
"ARO:3003795","ARO:3000053"
"ARO:3003798","ARO:3000053"
"ARO:3003802","ARO:3000053"
"ARO:3003804","ARO:3000053"
"ARO:3003806","ARO:3000053"
"ARO:3003810","ARO:3001219"
"ARO:3003814","ARO:3000053"
"ARO:3003816","ARO:3000053"
"ARO:3003830","ARO:3000103"
"ARO:3003835","ARO:0000001"
"ARO:3003836","ARO:3005386"
"ARO:3003840","ARO:3000103"
"ARO:3003846","ARO:0000032"
"ARO:3003921","ARO:0000001"
"ARO:3003938","ARO:0000032"
"ARO:3003938","ARO:0000044"
"ARO:3003938","ARO:3000008"
"ARO:3003954","ARO:0000001"
"ARO:3003967","ARO:0000001"
"ARO:3003969","ARO:0000000"
"ARO:3003969","ARO:0000017"
"ARO:3003969","ARO:0000026"
"ARO:3003969","ARO:3000050"
"ARO:3003976","ARO:3003975"
"ARO:3004040","ARO:3000157"
"ARO:3004046","ARO:0000016"
"ARO:3004057","ARO:0000000"
"ARO:3004057","ARO:0000017"
"ARO:3004057","ARO:0000026"
"ARO:3004057","ARO:3000079"
"ARO:3004057","ARO:3000081"
"ARO:3004057","ARO:3000387"
"ARO:3004057","ARO:3000670"
"ARO:3004064","ARO:3000527"
"ARO:3004067","ARO:0000020"
"ARO:3004077","ARO:0000001"
"ARO:3004077","ARO:3003823"
"ARO:3004080","ARO:3000282"
"ARO:3004080","ARO:3003706"
"ARO:3004096","ARO:3000053"
"ARO:3004098","ARO:0000000"
"ARO:3004104","ARO:0000020"
"ARO:3004104","ARO:0000032"
"ARO:3004104","ARO:0000044"
"ARO:3004125","ARO:0000000"
"ARO:3004136","ARO:3000527"
"ARO:3004141","ARO:0000001"
"ARO:3004141","ARO:0000016"
"ARO:3004152","ARO:3004019"
"ARO:3004155","ARO:3004019"
"ARO:3004172","ARO:3000079"
"ARO:3004178","ARO:3000670"
"ARO:3004182","ARO:0000026"
"ARO:3004183","ARO:3004019"
"ARO:3004187","ARO:0000017"
"ARO:3004188","ARO:3000387"
"ARO:3004190","ARO:0000032"
"ARO:3004190","ARO:3000008"
"ARO:3004192","ARO:0000032"
"ARO:3004193","ARO:0000032"
"ARO:3004193","ARO:3000008"
"ARO:3004195","ARO:0000020"
"ARO:3004196","ARO:0000004"
"ARO:3004196","ARO:0000020"
"ARO:3004196","ARO:3000008"
"ARO:3004197","ARO:3000008"
"ARO:3004198","ARO:3000008"
"ARO:3004199","ARO:0000032"
"ARO:3004200","ARO:0000020"
"ARO:3004201","ARO:0000020"
"ARO:3004201","ARO:3000008"
"ARO:3004202","ARO:0000020"
"ARO:3004202","ARO:0000032"
"ARO:3004202","ARO:3000008"
"ARO:3004203","ARO:0000020"
"ARO:3004203","ARO:0000032"
"ARO:3004203","ARO:3000008"
"ARO:3004205","ARO:0000020"
"ARO:3004205","ARO:0000032"
"ARO:3004205","ARO:0000044"
"ARO:3004206","ARO:0000020"
"ARO:3004206","ARO:0000032"
"ARO:3004206","ARO:3000008"
"ARO:3004207","ARO:0000020"
"ARO:3004207","ARO:0000032"
"ARO:3004207","ARO:0000044"
"ARO:3004207","ARO:3000008"
"ARO:3004207","ARO:3003706"
"ARO:3004208","ARO:0000020"
"ARO:3004208","ARO:0000032"
"ARO:3004209","ARO:0000020"
"ARO:3004210","ARO:0000020"
"ARO:3004211","ARO:0000020"
"ARO:3004211","ARO:0000032"
"ARO:3004211","ARO:3000008"
"ARO:3004212","ARO:0000020"
"ARO:3004212","ARO:0000032"
"ARO:3004212","ARO:3000008"
"ARO:3004214","ARO:0000020"
"ARO:3004214","ARO:0000032"
"ARO:3004214","ARO:3000008"
"ARO:3004215","ARO:0000032"
"ARO:3004216","ARO:0000032"
"ARO:3004216","ARO:0000044"
"ARO:3004216","ARO:3000008"
"ARO:3004217","ARO:0000020"
"ARO:3004217","ARO:0000032"
"ARO:3004217","ARO:3000008"
"ARO:3004218","ARO:0000020"
"ARO:3004218","ARO:3000008"
"ARO:3004219","ARO:0000020"
